,descricao,estado,envelhecimento,alcool,marca,madeira,grupo,madeira,tipo,volume,preco
50,"A Cahaça Ouro 1 é essa essência do que o mineiro  tem de melhor , uma seleção feita em diversos barris de carvalho de  produtores de todos as partes  de Minas gerais, uma cachaça velha que traz consigo um  sabor único,  leve e macio, que  conquista os paladares mais exigentes, seu   aroma  floral amadeirado levemente “abaunilhado”, característico do carvalho onde descansou. A Cachaça Ouro 1 traz  a assinatura do mineiro  Diego Gomes Silva  responsável pela seleção dos barris, seu conhecimento e sua  sensibilidade conferem o diferencial a esse blend que tão bem demonstra o espírito mineiro. Desejamos que ao degustar você  descubra “o espírito mineiro em você“.",Minas Gerais,2 anos,"40,5% Vol.",Ouro 1,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$77,90"
51,"A Cachaça Santo Grau Paraty é produzida artesanalmente em Paraty num engenho movido a roda d´água. Não deixe de ter CACHAÇA SANTO GRAU PARATY em sua adega!A Cachaça Santo Grau Paraty é produzida no Município de Paraty - Rio de Janeiro, é prata e descansada. Produzida no primeiro engenho do Brasil a receber certificaçao de excelência do Ministério da Agricultura. A fazenda onde se situa o engenho tem mais de 40 anos de tradição, já que a antiga fazenda onde a família produzia originalmente a cachaça foi arrendada há muitos anos e é onde se situa a atual marina do navegador Amyr Klink. O mestre alambiqueiro, o artesão responsável pela produção, é Eduardo Mello, quarto da geraçao de uma família que produz cachaça em Paraty desde 1803.O resultado é uma cachaça cheirosa e de sabor intenso, características peculiares desta região praiana. ***Criada em 1992, Cachaça Santo Grau nasceu como uma seleção de pequenos e tradicionais engenhos de cachaça. Hoje, dirige a produção, distribuição e comercialização de verdadeiros tesouros artesanais! Apesar dos processos similares, cada rótulo Santo Grau é uma cachaça de origem: diferentes locais, com tradições, matérias-primas e métodos de produção peculiares resultam em “caninhas” distintas, que proporcionam experiências sensoriais únicas!",Rio de Janeiro,Não,"42,8%  Vol.",Santo Grau,Não,Cachaça,Não,Não,750 ml,"R$57,90"
52,"A Cachaça Santo Grau Coronel Xavier Chaves é produzida em Minas Gerais no mais antigo engenho em atividade no Brasil. Experimente a cachaça SANTO GRAU!!!!!A Cachaça Santo Grau Coronel Xavier Chaves produzida na cidade de Coronel Xavier Chaves - Minas Gerais, é pura, sem madeira, descansa em dornas de inox por seis meses, o que preserva sua transparência e sabor. Seu aroma remete aos canaviais de antigamente e seu sabor começa vigoroso e depois torna-se quase doce, preenchendo a boca. O engenho da Coronel Xavier Chaves é o mais antigo do Brasil ainda em funcionamento, uma adega de pedra centenária tombada pelo patrimônio histórico nacional. Foi construído em 1755 e pertenceu ao irmão mais velho de Tiradentes!A Cachaça Santo Grau Coronel Xavier Chaves marcou presença nas três edições do Ranking das 20 Melhores Cachaças do Brasil da Revista PLAYBOY.***Criada em 1992, Cachaça Santo Grau nasceu como uma seleção de pequenos e tradicionais engenhos de cachaça. Hoje, dirige a produção, distribuição e comercialização de verdadeiros tesouros artesanais! Apesar dos processos similares, cada rótulo Santo Grau é uma cachaça de origem: diferentes locais, com tradições, matérias-primas e métodos de produção peculiares resultam em “caninhas” distintas, que proporcionam experiências sensoriais únicas!",Minas Gerais,Não,"40,5% Vol.",Santo Grau,Não,Cachaça,Não,Não,750 ml,"R$55,95"
53,"A Cachaça Santo Grau Itirapuã é produzida artesanalmente em São Paulo num engenho movido a roda d´água. Não deixe faltar a CACHAÇA SANTO GRAU em sua adega!A Cachaça Santo Grau Itirapuã é produzida pelo único engenho do estado de São Paulo que ainda é movido por roda d’água. A bebida é fermentada naturalmente a partir de uma levedura selvagem da região, cultivada em uma mistura de fubá e farelo de arroz, produzidos no antigo moinho de pedra da propriedade. A Cachaça Santo Grau Itirapuã é armazenada em tonéis de carvalho e jequitibá, resultando em uma cachaça de aroma suavemente amadeirado e sabor aveludado e macio. O engenho de Itirapuã foi construído em 1860 e desde então tem sido administrado pela mesma família!***Criada em 1992, Cachaça Santo Grau nasceu como uma seleção de pequenos e tradicionais engenhos de cachaça. Hoje, dirige a produção, distribuição e comercialização de verdadeiros tesouros artesanais! Apesar dos processos similares, cada rótulo Santo Grau é uma cachaça de origem: diferentes locais, com tradições, matérias-primas e métodos de produção peculiares resultam em “caninhas” distintas, que proporcionam experiências sensoriais únicas!",São Paulo,Não,42% Vol.,Santo Grau,Não,Cachaça,Não,Não,750 ml,"R$55,95"
54,"A cachaça Armazém Vieira Terra é produzida na cidade de Florinaópolis/SC. Tem doze anos de envelhecimento e 40% de teor alcoólico.   Em homenagem a terra, superfície a qual estamos vivendo, que engloba a face do terceiro planeta do sistema solar, esta cachaça quer deixar representada os anos que se deram para acentar todas as partículas que a formam em seu conteúdo. Foram doze anos de sono profundo até chegar o seu despertar. Comparando-a com a história do universo, a cachaça quando colocada no barril pode se dizer que é o big bang de um universo de sabor. Após essa explosão as partículas atômicas que estão em defasados movimentos aleatórios se encontram e se assentam para o longo descanso. Quando engarrafada, nasce a Terra. Nasce esse cachaça com um sabor suave e delicioso. É preciso sentir a terra, é preciso ser moderado ao caminhar com o paladar sobre a superfície da Terra. Você pode garimpar diversos momentos enquanto degusta, poderá encontrar um tesouro em cada golada. Beber Terra é um ato de desbravamento. Descobrir-se ao longo do tempo. Aquele gasto para se construir a Terra. O mesmo tempo gasto para construir o planeta Terra. Mas não são bilhões de anos, são bilhões de segundos, para cada gota ser unicamente um exemplo fiel de todo o conteúdo. Se você ainda não bebeu Terra, aproveite esta oportunidade.",Santa Catarina,12 anos,40% Vol.,Armazém Vieira,Ariribá e Grápia,Cachaça,Ariribá e Grápia,Não,750 ml,"R$257,95"
55,"A cachaça Da Posse é produzida em Guapó/GO. Envelhecida dois anos em barris de carvalho com 40,5% de teor alcoólico.   Pensando num momento importante da vida das pessoas, a cachaça representa tomar posse. Aquele momento em que se consegue uma mesa de trabalho, um emprego, um escritório, um cargo, uma residência e um carro. Ou mesmo qualquer coisa que se possa ter como posse de forma suada, trabalhada e merecedora. Tomar posse de algo de forma ilibada é um sentimento que muitos vivem e que nunca serão esquecidos. Conquistar algo é o que impulsiona a raça humana. Todos querem possuir carro, casas e uma vida cheia de vitórias. Foi pensando nisso que o nome Da Posse surgiu, uma cachaça que representa a sua conquista. Ou a conquista de alguém que você ama muito. A Cachaça da Posse é uma excelente cachaça artesanal, produzida nos mais tradicionais alambiques do interior de Goiás. Cachaça da Posse é um destilado simples do caldo da cana de açucar,sem aditivo químico, utilizando o fubá de milho em seu processo de fermentação, destilação feita em alambiques de cobre armazenado em carvalho Europeu, por no mínimo 18 meses. Tome posse.",Goiás,2 anos,40% Vol.,Da Posse,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$29,90"
56,"CACHAÇA FUZUÊ é uma excelente cachaça artesnal produzida pela família ZURITA. Ideal para o preparo da caipirinha e coquetéis. Experimente a Cachaça Fuzuê !A cachaça Fuzuê é engarrafada nova , para conservar as caracteristicas obtidas no momento da destilação. É uma excelente opção na preparação de coquetéis, porque possui aroma caracteristico e absorve com pefeição e harmonia os sabores das frutas.Premiações: A Cachaça Fuzuê foi eleita entre as 3 melhores cachaças de alambique do Estado de São Paulo - UNESP. Cachaça Fuzuê - A arte da cachaça.",São Paulo,Não,41% Vol.,Fuzuê,Não Envelhcida,Cachaça,Não Envelhcida,Não,750 ml,"R$49,90"
57,"A cachaça Ypioca 160 é produzida em Fortaleza, no Ceará. O processo de envelhecimento leva seis anos em barris de carvalho, sendo a única cachaça no mundo que leva malte em sua composição. O nome remete ao aniversário de 160 anos da marca.
A sofisticação da cachaça começa na embalagem e continua dentro da garrafa, com 39% de teor alcoólico, a bebida tem como notas de composição o carvalho e o malte, sendo que o este último lhe confere um sabor adocicado.
A Ypioca 160 é considerada um dos melhores rótulos do mundo. Em 2007, antes mesmo de ser lançada no Brasil, a bebida foi premiada como a melhor Cachaça Premium, no International Cane Spirits Festival and Tasting Competition (ISCF), realizado nos Estados Unidos.",Ceará,6 anos,39% Vol.,Ypióca,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$138,95"
58,Aguardente destilada de cana-de-açúcar envelhecida 2 anos em tonéis de madeira de freijó adquirindo sabor e bouquet especiais. Sua garrafa é totalmente revestida com embalagem artesanal de palha de carnaúba. Graduação alcoólica 39% vol - 960ml. Cachaça cearense.,Ceará,2 anos,39% Vol.,Ypióca,Freijó,Cachaça,Freijó,Não,960 ml,"R$23,88"
59,"Feita na cidade de Coluna/MG, a Coluninha ouro representa o espírito daquela região. Muito conhecida entre os aprecidadores da boa cachaça, a Coluninha é uma das mais respeitadas cachaças mineiras.   Tanto pela sua história quanto pelo seu paladar. Uma cachaça que nos remete aos primórdios dos alambiques. A cada gole uma sensação de estar voltando no passado, seja em qual tempo, esta cachaça é simplesmente suave e lhe traz a sensação de bem estar e relaxamento. Para aquelas dias que você precisa de uma dose urgente.",Minas Gerais,Não,Não,Coluninha,Não,Cachaça,Não,Não,700 ml,"R$28,80"
60,"A cachaça Terra Dourada é produzida na cidade de Luiz Alves/SC. Tem 40,5% de teor alcoólico.   Terra Dourada representa a bandeira nacional. Tudo que há de mais puro e verdadeiro no espírito Brasileiro. A alegria hospitaleira do povo que forma esta nação genuína. Desde a bela canção ""Terra Dourada"" do grande compositor João Bosco, até as inúmeras terras diversificadas que compõe este país verde, amarelo e azul. Captar este cenário tropical de alegria e amor é o intuito e a magia da cachaça Terra Dourada. Quando bebê-la, feche os olhos e pense na imagem que mais representa o Brasil para você, essa imagem é o que buscam nesta delícia de bebida. Deixe a Terra Dourada lhe mostrar o Brasil na sua mais pura essência. Através de sua filha, a cachaça. A bebida que nasceu deste berço esplêndido. Que nasceu nesta terra dourada.",Santa Catarina,Sem envelhecimento,"40,5% Vol.",Terra Dourada,Não Envelhcida,Cachaça,Não Envelhcida,Não,750 ml,"R$37,20"
61,"A cachaça Sabor de Minas é produzida na cidade de Salinas/MG, capital mineira da cachaça. Envelhecida aproxidamente dois anos no bálsamo, com 42% de cachaça.   O nome da cachaça pode parecer óbvio para muitos, mas é preciso aprofundar-se mais neste contexto para realmente entender o que é o sabor de minas. Como representar de forma explosiva em sabores na boca do apreciador um estado montanhoso e diversificado ambientalmente? Sim, isso somente os loucos por cachaças entenderão. Somente nas noites estreladas de Salinas é que se enxerga o mestre preparando a cana para ser transformada em um mapa bebível. Como se pegasse o estado inteiro e batesse em um liquidificador e tomasse o suco. Mas não é dessa forma que o sabor de Minas é extraído da cana. É preciso antes de tudo de amor ao processo. É preciso se desligar do mundo para imprimir o mundo. O artista só consegue desenhar o modelo se ele não for modelo. Não dá para desenhar seu rosto sem se ver. Não dá pra expressar Minas em uma bebída sem sair do seu corpo e mente de forma transcendental. Produzir a Sabor de Minas é isso, desligar-se de tudo e de todos e focar apenas no que não é tangível. É manipular o que não se vê e que só se sente. Não referimos ao material e sim a verdadeira essência de se cozinhar algo. Fazer comida não é misturar matéria, é enxergar na frente uma sensação boa de satisfação. O gosto da carne nos remete ao bicho, o gosto da sabor de Minas nos remete ao estado inteiro. Como se partisse o triângulo mineiro e misturasse com o vale do Jequitinhonha. É tudo isso em cada gole, em cada cheiro. Aprecie essa maravilha detalhada e comente depois conosco o que sentiu.",Minas Gerais,Não,42% Vol.,Sabor de Minas,Bálsamo e Jequitibá,Cachaça,Bálsamo e Jequitibá,Não,670 ml,"R$36,27"
62,"Cachaça Nectar do Cerrado Castanheira do Pará 670ml. A Castanheira do Pará envelhece o destilado, tornando a cachaça mais suave, imprimindo uma cor bronzeada, com aroma e sabor marcantes.",Minas Gerais,"1,5 anos",39% Vol.,Nectar do Cerrado,Castanheira,Cachaça,Castanheira,Não,670 ml,"R$49,90"
63,"A cachaça Flor do Vale é produzida na cidade de Canela/RS. Ela tem 40,5% de teor alcoólico.   A cachaça é fabricada em um parque ecológico chamado Flor do Vale. O lugar é maravilhoso e muitas atividades estão presentes para entreter seus convidados. Você pode fazer desde cursos para aprender a preservar o meio ambiente ou até mesmo praticar tiro ao alvo, balestra. Você passear pelo parque e ver o processo de fabricação desta deliciosa cachaça. Além disso você pode almoçar e se divertir no restaurante e outras áreas de diversão como a sala de personalização de cachaças. O verde está presente e a terra do Rio Grande do Sul, como num passe de mágica, produz uma cana mais adocicada e sadia. É diferente o sabor das canas mineiras e isso caractareriza uma cachaça cristalina á abrilhantar os olhos. A Flor do Vale realmente merece este único nome pois naquele lindo vale onde se encontra ela parece uma flor. Seu local de descanso está mais para um templo de meditação budista, um local arejado e fresco, com silêncio e natureza ao redor. Verde que te quero verde. A poeisa está instalada na atmosfera e o ar puro comprova que até mesmo a mãe natureza faz parte do processo de desenvolvimento desta cachaça. Experimente, sua caipirinha vai ficar uma delícia. Beba a Flor do Vale.",Rio Grande do Sul,Sem envelhecimento,"40,5% Vol.",Flor do Vale,Não Envelhcida,Cachaça,Não Envelhcida,Não,700 ml,"R$55,81"
64,"A cachaça Flor do Vale é produzida na cidade de Canela/RS. Ela tem 40,5% de teor alcoólico.   A cachaça é fabricada em um parque ecológico chamado Flor do Vale. O lugar é maravilhoso e muitas atividades estão presentes para entreter seus convidados. Você pode fazer desde cursos para aprender a preservar o meio ambiente ou até mesmo praticar tiro ao alvo, balestra. Você passear pelo parque e ver o processo de fabricação desta deliciosa cachaça. Além disso você pode almoçar e se divertir no restaurante e outras áreas de diversão como a sala de personalização de cachaças. O verde está presente e a terra do Rio Grande do Sul, como num passe de mágica, produz uma cana mais adocicada e sadia. É diferente o sabor das canas mineiras e isso caractareriza uma cachaça cristalina á abrilhantar os olhos. A Flor do Vale realmente merece este único nome pois naquele lindo vale onde se encontra ela parece uma flor. Seu local de descanso está mais para um templo de meditação budista, um local arejado e fresco, com silêncio e natureza ao redor. Verde que te quero verde. A poeisa está instalada na atmosfera e o ar puro comprova que até mesmo a mãe natureza faz parte do processo de desenvolvimento desta cachaça. Experimente, sua caipirinha vai ficar uma delícia. Beba a Flor do Vale.",Rio Grande do Sul,1 ano,"40,5% Vol.",Flor do Vale,Grápia,Cachaça,Grápia,Não,700 ml,"R$65,40"
65,"A cachaça Prazer de Minas é produzida na cidade de Esmeralda/MG. Envelhecida por dois anos em barris de carvalho inglês.   Com 39% de teor alcoólico. Prazer de Minas representa, junto com o pão de queijo mineiro, uma das mais famosas característica desta gente das Minas Gerais. O povo mineiro é sereno, tranquilo e hospitaleiro. É comum chegar em cidades do interior de Minas e ser recebido com um lindo sorriso e ser convidado para tomar um cafezinho e comer um delicioso pão de cachaça. Mas quando se fala em aperitivo, o primeiro nome que vem para representar esse prazer cultural e antigo, é a Prazer de Minas. Uma das cachaças mais populares desta região montanhosa. Sua textura é leve e macia, um veludo líquido que desce surfando delicadamente no movimento peristáltico. Algo que não impulsiona a contração dos músculos faciais, muito pelo contrário, tudo fica mais bonito quando se absorve essa doce cachaça. Elevando nossa alegria ao máximo exponencial, dando prazer no prazer, essa cachaça é sinônimo de alegria e diversão. Um símbolo de orgulho para a nação das montanhas. Experimente essa cachaça e nos diga o que achou deixando um testemunho. Gostaríamos muito de saber se teve prazer ao degustar a Prazer de Minas.",Minas Gerais,Não,39% Vol.,Prazer de Minas,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$53,90"
66,"A cachaça Nécta do Cerrado Amburana é produzida na cidade de Monte Alegre/MG. Envelhecida por um ano em barris de Amburana e tem 39% de teor alcoólico.   Com a missão de resgatar o processo tradicional de produção da cachaça artesanal mineira, um grupo familiar, em sua maioria professores universitários, fundou em 2002 o Engenho Néctar do Cerrado, um alambique instalado no sítio Flor do Cerrado, na rodovia BR365 km 398, na cidade de Monte Alegre de Minas , terra do Abacaxi, distante 70 Km de Uberlândia-MG, capital regional do Triangulo Mineiro, terra de boa gente e rica gastronomia. O destino cultural e social é resgatar o processo da produção artesanal, valorizando a cachaça como um produto gastronômico do nosso país e assim proporcionar ao degustador, um produto de qualidade inigualável.  A região do cerrado mineiro foi escolhida por possuir clima seco e ameno que propicia a fermentação natural do mosto de caldo de cana.  Seus solos leves, são facilmente tratáveis para obtenção de uma cana de açúcar com brix (teor do açúcar) elevado, chegando aos 25%, fator determinante na qualidade da bebida. A produção segue os mais rigorosos padrões em todas as etapas do processo, desde a fermentação natural, a destilação em alambique de cobre e o aproveitamento somente do coração, parte nobre do destilado, não apresentando metanol ou forfural em sua composição. A Néctar do Cerrado é certificada pelo IMA e tem recebido elogios de diversos segmentos, através da mídia escrita e televisiva. Foi inclusive objeto de reportagem de 44 minutos do Canal Rural. Além disso recebeu a Certificação da Rede Mundial de Hotéis Sofitel como cachaça envelhecida para compor sua Carta Especial de Cachaças. Em 2014, durante a vigésima quarta edição da Expo Cachaça, uma de suas cachaças foi premiada com o segundo lugar na categoria Madeiras Brasileiras.",Minas Gerais,"1,6 anos",39% Vol.,Nectar do Cerrado,Umburana,Cachaça,Umburana,Não,700 ml,"R$49,90"
67,"A cachaça Nécta do Cerrado Bálsamo é produzida na cidade de Monte Alegre/MG. Envelhecida por um ano em barris de Bálsamo e tem 39% de teor alcoólico.   Com a missão de resgatar o processo tradicional de produção da cachaça artesanal mineira, um grupo familiar, em sua maioria professores universitários, fundou em 2002 o Engenho Néctar do Cerrado, um alambique instalado no sítio Flor do Cerrado, na rodovia BR365 km 398, na cidade de Monte Alegre de Minas , terra do Abacaxi, distante 70 Km de Uberlândia-MG, capital regional do Triangulo Mineiro, terra de boa gente e rica gastronomia. O destino cultural e social é resgatar o processo da produção artesanal, valorizando a cachaça como um produto gastronômico do nosso país e assim proporcionar ao degustador, um produto de qualidade inigualável.  A região do cerrado mineiro foi escolhida por possuir clima seco e ameno que propicia a fermentação natural do mosto de caldo de cana.  Seus solos leves, são facilmente tratáveis para obtenção de uma cana de açúcar com brix (teor do açúcar) elevado, chegando aos 25%, fator determinante na qualidade da bebida. A produção segue os mais rigorosos padrões em todas as etapas do processo, desde a fermentação natural, a destilação em alambique de cobre e o aproveitamento somente do coração, parte nobre do destilado, não apresentando metanol ou forfural em sua composição. A Néctar do Cerrado é certificada pelo IMA e tem recebido elogios de diversos segmentos, através da mídia escrita e televisiva. Foi inclusive objeto de reportagem de 44 minutos do Canal Rural. Além disso recebeu a Certificação da Rede Mundial de Hotéis Sofitel como cachaça envelhecida para compor sua Carta Especial de Cachaças. Em 2014, durante a vigésima quarta edição da Expo Cachaça, uma de suas cachaças foi premiada com o segundo lugar na categoria Madeiras Brasileiras.",Minas Gerais,"1,6 anos",39% Vol.,Nectar do Cerrado,Bálsamo,Cachaça,Bálsamo,Não,700 ml,"R$49,90"
68,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela não é uma cachaça envelhecida, apenas descansada em tóneis de inox. Isso lhe confere uma transparência cristalizada e límpida, a bebida perfeita para se tomar pura ou mista como a nossa tradicional caipirinha. Com essa cachaça ela vai ficar perfeita.  A Cachaça Jacuba traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,Sem envelhecimento,"40,5% Vol.",Jacuba,Não Envelhcida,Cachaça,Não Envelhcida,Não,750 ml,"R$56,95"
69,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Envelhecida por dois anos em barris de carvalho. Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela é uma cachaça envelhecida, A Cachaça Jacuba é a mais nova cachaça Premium nacional, que traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,2 anos,"40,5% Vol.",Jacuba,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$47,88"
70,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Envelhecida por dois anos em barris de carvalho. Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela é uma cachaça envelhecida, A Cachaça Jacuba é a mais nova cachaça Premium nacional, que traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,2 anos,"40,5% Vol.",Jacuba,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$47,88"
71,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Envelhecida por dois anos em barris de carvalho. Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela é uma cachaça envelhecida, A Cachaça Jacuba é a mais nova cachaça Premium nacional, que traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,2 anos,"40,5% Vol.",Jacuba,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$47,88"
72,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Envelhecida por dois anos em barris de carvalho. Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela é uma cachaça envelhecida, A Cachaça Jacuba é a mais nova cachaça Premium nacional, que traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,2 anos,"40,5% Vol.",Jacuba,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$47,88"
73,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Envelhecida por dois anos em barris de carvalho. Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela é uma cachaça envelhecida, A Cachaça Jacuba é a mais nova cachaça Premium nacional, que traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,2 anos,"40,5% Vol.",Jacuba,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$47,88"
74,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Envelhecida por dois anos em barris de carvalho. Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela é uma cachaça envelhecida, A Cachaça Jacuba é a mais nova cachaça Premium nacional, que traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,2 anos,"40,5% Vol.",Jacuba,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$47,88"
75,"A cachaça Jacuba é produzida na cidade de Cel. Xavier Chaves/MG.   Envelhecida por dois anos em barris de carvalho. Ela tem 40,5% de teor alcoólico.A cachaça Jacuba está localizada na terra onde se encontra o alambique mais antigo do Brasil. Por este motivo já podemos perceber que a cana de açucar naquele relevo tem características especiais. São mais de 250 anos que se fabrica cachaça naqueles solos. E o alambique da cachaça Jacuba se encontra sobre o mesmo solo. Por este motivo o sabor é inigualável. É preciso esperimentar essa cachaça pura, para sentir a essência da cana de açucar destilada no mais refinado método de suavização. Ela é uma cachaça envelhecida, A Cachaça Jacuba é a mais nova cachaça Premium nacional, que traz em cada gole o equilíbrio perfeito das novas tecnologias, a qualidade, a saga e a tradição do que há de mais puro e genuíno no nosso Brasil. Os processos de produção, armazenagem e envelhecimento, criaram padrões de qualidade que caracterizam a Cachaça Jacuba como um produto artesanal em sua essência, que mantém a riqueza de aromas e sabores mesmo na produção em grande escala.",Minas Gerais,2 anos,"40,5% Vol.",Jacuba,Carvalho,Cachaça,Carvalho,Não,750 ml,"R$47,88"
